_id,subdepartment_name,parent_department_id
5820b4bcfc13ae5137001bca,Decentralized full-range analyzer,5820b403fc13ae512e003206
5820b4bcfc13ae5137001bcb,Adaptive 3rd generation superstructure,5820b403fc13ae512e003205
5820b4bcfc13ae5137001bcc,Mandatory mission-critical array,5820b403fc13ae512e003205
5820b4bcfc13ae5137001bcd,Multi-lateral regional extranet,5820b403fc13ae512e003206
5820b4bcfc13ae5137001bce,Vision-oriented object-oriented analyzer,5820b403fc13ae512e003205
5820b4bcfc13ae5137001bcf,Reverse-engineered solution-oriented conglomeration,5820b403fc13ae512e003208
5820b4bcfc13ae5137001bd0,Realigned scalable encryption,5820b403fc13ae512e003208
5820b4bcfc13ae5137001bd1,Inverse discrete Graphical User Interface,5820b403fc13ae512e003208
5820b4bcfc13ae5137001bd2,Down-sized global leverage,5820b403fc13ae512e003206
5820b4bcfc13ae5137001bd3,Organized human-resource methodology,5820b403fc13ae512e003206
5820b4bcfc13ae5137001bd4,Re-contextualized global local area network,5820b403fc13ae512e003206
5820b4bcfc13ae5137001bd5,Automated non-volatile product,5820b403fc13ae512e003208
5820b4bcfc13ae5137001bd6,Persevering dynamic approach,5820b403fc13ae512e003205
5820b4bcfc13ae5137001bd7,Focused real-time projection,5820b403fc13ae512e003208
5820b4bcfc13ae5137001bd8,Total multimedia function,5820b403fc13ae512e003206
5820b4bcfc13ae5137001bd9,Organic 5th generation moderator,5820b403fc13ae512e003207
5820b4bcfc13ae5137001bda,Integrated methodical capacity,5820b403fc13ae512e003206
5820b4bcfc13ae5137001bdb,Progressive motivating Graphical User Interface,5820b403fc13ae512e003208
5820b4bcfc13ae5137001bdc,Open-architected dedicated superstructure,5820b403fc13ae512e003207
5820b4bcfc13ae5137001bdd,Quality-focused upward-trending matrices,5820b403fc13ae512e003205
